disease,name,n_terms,ic_moved,informative_pairs,pairs_moved,mean_abs_dlin,max_abs_dlin
OMIM:618165,Bone marrow failure syndrome 5,18,12,18,18,0.0031,0.019
OMIM:617054,"Striatonigral degeneration, childhood-onset",16,12,52,52,0.0031,0.02
OMIM:609115,"Limb-girdle muscular dystrophy, type 1G",12,6,36,36,0.0031,0.01
OMIM:618876,"Epilepsy, progressive myoclonic, 11",15,10,78,78,0.0031,0.02
OMIM:618331,"Encephalopathy, progressive, early-onset, with episodic rhabdomyolysis",13,9,46,46,0.0031,0.018
OMIM:616307,Senior-Loken syndrome 8,15,9,19,19,0.003,0.008
OMIM:619897,"Cardiomyopathy, dilated, 2G",16,3,105,105,0.003,0.036
OMIM:613376,"Neuronopathy, distal hereditary motor, type IIC",13,7,53,53,0.003,0.011
OMIM:128235,Dystonia 12,16,9,94,94,0.003,0.161
OMIM:300476,"Cone-Rod dystrophy, X-linked, 3",14,11,91,91,0.003,0.019
OMIM:615918,Combined oxidative phosphorylation deficiency 21,12,8,22,22,0.003,0.039
OMIM:617613,Multiple mitochondrial dysfunctions syndrome 5,16,16,47,47,0.003,0.018
OMIM:618906,"Intellectual developmental disorder with autistic features and language delay, with or without seizures",18,15,78,78,0.003,0.02
OMIM:217080,Jalili syndrome,17,11,94,94,0.0029,0.016
OMIM:601777,Cone-Rod dystrophy 6,13,7,78,78,0.0029,0.017
OMIM:609165,"Erythroderma, ichthyosiform, congenital reticular",14,12,24,24,0.0029,0.028
OMIM:238600,Type I hyperlipoproteinemia,14,4,33,33,0.0029,0.009
OMIM:616645,"Epileptic encephalopathy, early infantile, 34",14,13,79,79,0.0029,0.018
OMIM:618892,Harderoporphyria,14,6,29,29,0.0028,0.009
OMIM:618201,"Epileptic encephalopathy, early infantile, 68",15,14,68,68,0.0028,0.018
OMIM:616834,"Microcephaly, congenital cataract, and psoriasiform dermatitis",18,10,26,26,0.0028,0.034
OMIM:173800,Poland syndrome,15,6,78,78,0.0028,0.015
OMIM:619063,"Mitochondrial complex IV deficiency, nuclear type 19",14,6,41,41,0.0028,0.019
