disease,name,database,n_raw_terms,n_retained_terms,n_missing_old,n_missing_new,n_obsolete,n_out_of_domain,n_ic_changed,n_pairs,n_informative_pairs,n_root_only_pairs,n_pairs_changed,n_pairs_abs_delta_gt_0.01,n_pairs_abs_delta_gt_0.1,mean_abs_dlin,max_abs_dlin,status
OMIM:146350,Hypophosphatemic bone disease,OMIM,6,6,0,0,0,0,5,15,6,9,6,0,0,0.001753,0.002129,RANKABLE
OMIM:615547,Schaaf-Yang syndrome,OMIM,50,50,0,0,0,0,27,1225,224,1001,224,3,0,0.001681,0.024440,RANKABLE
OMIM:614881,"Spinal muscular atrophy, distal, autosomal recessive, 5",OMIM,9,9,0,0,0,0,7,36,10,26,10,1,0,0.003950,0.014642,RANKABLE
OMIM:616728,"Cleft palate, psychomotor retardation, and distinctive facial features",OMIM,39,39,0,0,0,0,20,741,158,583,158,0,0,0.000911,0.002045,RANKABLE
OMIM:621184,Tayoun-Maawali syndrome,OMIM,116,116,0,0,0,0,75,6670,666,6004,666,21,4,0.002733,0.177975,RANKABLE
OMIM:610359,Retinitis pigmentosa 33,OMIM,7,7,0,0,0,0,5,21,21,0,21,0,0,0.001932,0.002551,RANKABLE
OMIM:608516,Major depressive disorder,OMIM,1,1,0,0,0,0,0,0,0,0,0,0,0,,,TERM_ONLY
OMIM:607625,"Niemann-pick disease, type C2",OMIM,33,33,0,0,0,0,19,528,137,391,137,2,0,0.002263,0.052009,RANKABLE
OMIM:613678,Brachyolmia type 2,OMIM,2,2,0,0,0,0,2,1,0,1,0,0,0,,,NO_INFORMATIVE_PAIRS
OMIM:191420,Ulna metaphyseal dysplasia syndrome,OMIM,5,5,0,0,0,0,4,10,6,4,6,0,0,0.001740,0.002280,RANKABLE
OMIM:619433,"Cardiomyopathy, familial restrictive, 6",OMIM,9,9,0,0,0,0,4,36,20,16,20,2,0,0.002653,0.016386,RANKABLE
OMIM:609620,Short QT syndrome 1,OMIM,6,6,0,0,0,0,2,15,15,0,15,0,0,0.001139,0.001481,RANKABLE
OMIM:308905,"Leber optic atrophy, susceptibility to",OMIM,2,2,0,0,0,0,1,1,1,0,1,0,0,0.000888,0.000888,RANKABLE
OMIM:619355,"Mitochondrial complex IV deficiency, nuclear type 22",OMIM,31,31,0,0,0,0,17,465,159,306,159,27,7,0.010937,0.177975,RANKABLE
OMIM:143200,Wagner vitreoretinopathy,OMIM,12,12,0,0,0,0,9,66,66,0,66,0,0,0.001643,0.002504,RANKABLE
OMIM:614671,Chromosome 16p11.2 duplication syndrome,OMIM,18,18,0,0,0,0,11,153,42,111,42,0,0,0.001022,0.004703,RANKABLE
OMIM:270100,"Heterotaxy, visceral, 5",OMIM,30,30,0,0,0,0,19,435,160,275,160,0,0,0.001105,0.007454,RANKABLE
OMIM:614665,Meconium ileus,OMIM,4,4,0,0,0,0,0,6,3,3,3,1,0,0.009063,0.021314,RANKABLE
OMIM:609152,"Hyperthyroidism, nonautoimmune",OMIM,19,19,0,0,0,0,11,171,22,149,22,0,0,0.001439,0.004703,RANKABLE
OMIM:151610,Levator-Medial rectus synkinesis,OMIM,4,4,0,0,0,0,4,6,2,4,2,0,0,0.001270,0.001706,RANKABLE
